UNCode	Country_UN	Program1989	Program1990	Program1991	Program1992	Program1993	Program1994	Program1995	Program1996	Program1997	Program1998	Program1999	Program2000	Program2001		Program Code	Description
588040	UKRAINE				MFN	MFN	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP
338580	URUGUAY	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
368960	US_NES	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular
688100	USSR	Col2	Col2	Col2	Col2									
468600	UZBEKIST				Col2	Col2	MFN	GSP	GSP	GSP	GSP	GSP	GSP	GSP
338620	VENEZ	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
368962	VGN_ISL	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular	Insular
487040	VIETNAM	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2	Col2
448860	YEMEN_N	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+	GSP+
447200	YEMEN_S	MFN	MFN											
598910	YUGOSLAV	GSP	GSP	GSP	GSP	MFN	MFN	MFN	MFN	MFN	MFN	MFN	Col2	Col2
161800	ZAIRE	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP+	GSP+	GSP+	GSP+	GSP+
168940	ZAMBIA	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP+	GSP+	GSP+	GSP+	AGOA+
167160	ZIMBABWE	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP	GSP
