"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1999,1999,"CMT","MFN",11.29,12.23,4.05,3,13,45,0,0,35230.228,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",1999,1999,"CMT","PRF",0.43,0.08,0.76,0,2,45,,0,35230.228,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2000,2000,"CMT","AHS",11.4,12.82,3.97,3,13,18,0,0,110132.769,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2000,2000,"CMT","BND",32.67,34.68,8.73,0,35,15,0,14,110132.769,100
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2000,2000,"CMT","MFN",11.4,12.82,3.97,3,13,18,0,0,110132.769,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2001,2001,"CMT","AHS",11.5,12.68,3.89,3,13,19,0,0,50858.423,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2001,2001,"CMT","BND",32.81,34.67,8.47,0,35,16,0,15,50858.423,100
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2001,2001,"CMT","MFN",11.5,12.68,3.89,3,13,19,0,0,50858.423,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2002,2002,"CMT","AHS",0,0,0,0,0,20,0,0,82143.252,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2002,2002,"CMT","BND",32.94,34.7,8.24,0,35,17,0,16,82143.252,100
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2002,2002,"CMT","MFN",11.59,12.71,3.82,3,13,20,0,0,82143.252,
"I3","H1","484","Mexico","1320","Mining of non-ferrous metal ores, except uranium a","840","United States",2002,2002,"CMT","PRF",0,0,0,0,0,,,0,82144.21,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1996,1996,"CMT","AHS",10.26,4.77,4.35,0,20,30,0,1,73664.201,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1996,1996,"CMT","BND",35,35,0,35,35,29,0,29,73664.201,100
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1996,1996,"CMT","MFN",10.26,4.77,4.35,0,20,30,0,1,73664.201,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1997,1997,"CMT","AHS",10.09,4.76,4.27,0,20,30,0,1,99724.757,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1997,1997,"CMT","BND",35,35,0,35,35,29,0,29,99724.757,100
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1997,1997,"CMT","MFN",10.09,4.76,4.27,0,20,30,0,1,99724.757,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1998,1998,"CMT","AHS",10.27,4.72,4.42,0,20,29,0,1,89296.758,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1998,1998,"CMT","BND",35,35,0,35,35,28,0,28,89296.758,100
